mid,merchant_creation_date,maximum_number_of_installments_allowed,country_of_registration,countries_of_operations
38531,2020-03-20T09:27:18.750421Z,4,FR,"{FR,ES,DE,BE,IT}"
15254,2019-10-30T13:46:45.578167Z,4,FR,"{FR,ES,DE,BE,IT}"
38666,2020-03-20T14:37:27.421547Z,4,FR,"{FR,ES,DE,BE,IT}"
24128,2020-01-08T08:18:43.58628Z,4,FR,"{FR,ES,DE,BE,IT}"
150742,2020-10-09T10:27:33.441073Z,10,FR,"{FR,ES,BE,DE,IT}"
1353,2019-03-27T18:16:27.059268Z,4,FR,"{FR,ES,DE,BE,IT}"
46922,2020-04-09T11:16:01.661682Z,4,FR,"{FR,ES,BE,DE,IT}"
34065,2020-03-06T10:18:39.031247Z,4,FR,"{FR,ES,DE,BE,IT}"
54017,2020-04-22T12:20:48.845039Z,10,FR,"{FR,ES,DE,BE,IT}"
14635,2019-10-25T10:47:03.367257Z,4,FR,"{FR,ES,DE,BE,IT}"
126710,2020-09-02T13:59:42.578605Z,4,FR,"{FR,ES,DE,BE,IT}"
502,2019-01-28T12:19:56.273825Z,4,FR,"{FR,ES,DE,BE,IT}"
45916,2020-04-07T20:06:50.85396Z,4,FR,"{FR,ES,DE,BE,IT}"
82476,2020-06-04T13:23:27.082697Z,4,FR,"{FR,ES,DE,BE,IT}"
97672,2020-06-30T08:05:37.296317Z,4,FR,"{FR,ES,DE,BE,IT}"
5316,2019-08-07T17:04:26.248279Z,4,FR,"{FR,ES,DE,BE,IT}"
29928,2020-02-15T19:04:14.327852Z,10,FR,"{FR,ES,DE,BE,IT}"
290,2019-01-02T17:43:37.759613Z,4,FR,"{FR,ES,DE,BE,IT}"
58367,2020-04-30T11:20:35.404178Z,4,MC,"{FR,ES,DE,BE,IT}"
49454,2020-04-14T08:08:14.015958Z,4,FR,"{FR,ES,DE,BE,IT}"
4872,2019-07-26T09:04:10.39318Z,4,FR,"{FR,ES,DE,BE,IT}"
46786,2020-04-09T07:02:47.029305Z,4,AD,"{FR,ES,DE,BE,IT}"
92007,2020-06-19T07:44:05.736175Z,4,FR,"{FR,ES,DE,BE,IT}"
444,2019-01-18T22:46:14.376466Z,4,FR,"{FR,ES,DE,BE,IT}"
156812,2020-10-19T15:25:34.529031Z,4,FR,"{FR,ES,DE,BE,IT}"
47598,2020-04-10T08:11:04.037667Z,4,FR,"{FR,ES,DE,BE,IT}"
3557,2019-07-07T19:58:46.624765Z,4,FR,"{FR,ES,DE,BE,IT}"
39904,2020-03-26T09:37:22.438086Z,4,BE,"{FR,ES,DE,BE,IT}"
25307,2020-01-17T09:45:39.891447Z,4,FR,"{FR,ES,DE,BE,IT}"
163734,2020-10-28T13:26:19.817497Z,4,FR,"{FR,ES,DE,BE,IT}"
97382,2020-06-29T16:42:15.906625Z,10,FR,"{FR,ES,DE,BE,IT}"
32557,2020-03-01T17:43:49.087308Z,4,FR,"{FR,ES,DE,BE,IT}"
14886,2019-10-29T09:22:26.832084Z,4,FR,"{FR,ES,DE,BE,IT}"
82302,2020-06-04T09:12:12.85903Z,4,FR,"{FR,ES,BE,DE,IT}"
24224,2020-01-08T11:25:55.282143Z,10,FR,"{FR,ES,DE,BE,IT}"
5916,2019-08-23T05:30:21.430087Z,10,FR,"{FR,ES,DE,BE,IT}"
4891,2019-07-26T10:02:11.221677Z,4,FR,"{FR,ES,DE,BE,IT}"
21382,2019-12-09T15:36:11.232756Z,4,FR,"{FR,ES,DE,BE,IT}"
90402,2020-06-16T15:57:20.172612Z,4,FR,"{FR,ES,DE,BE,IT}"
676,2019-02-09T13:35:48.995599Z,4,FR,"{FR,ES,DE,BE,IT}"
73563,2020-05-22T12:44:40.345767Z,4,FR,"{FR,ES,DE,BE,IT}"
90828,2020-06-17T09:55:41.540116Z,4,FR,"{FR,ES,DE,BE,IT}"
4098,2019-07-12T15:46:05.667792Z,4,FR,"{FR,ES,BE,DE,IT}"
23818,2020-01-05T13:11:37.417421Z,4,FR,"{FR,ES,DE,BE,IT}"
42185,2020-03-30T17:59:08.25299Z,10,FR,"{FR,ES,DE,BE,IT}"
37777,2020-03-16T15:11:38.477605Z,4,FR,"{FR,ES,DE,BE,IT}"
15911,2019-11-05T07:40:00.624116Z,10,FR,"{FR,ES,DE,BE,IT}"
51774,2020-04-17T12:41:58.882195Z,4,FR,"{FR,ES,DE,BE,IT}"
4582,2019-07-19T08:36:54.325856Z,10,FR,"{FR,ES,DE,BE,IT}"
28052,2020-02-04T15:27:33.1559Z,4,FR,"{FR,ES,DE,BE,IT}"
18347,2019-11-20T08:41:57.606917Z,4,FR,"{FR,ES,DE,BE,IT}"
560,2019-01-31T08:39:21.401417Z,4,FR,"{FR,ES,DE,BE,IT}"
32673,2020-03-02T08:01:13.151561Z,10,FR,"{FR,ES,DE,BE,IT}"
37603,2020-03-16T07:27:52.085301Z,4,FR,"{FR,ES,DE,BE,IT}"
56898,2020-04-27T19:41:12.305508Z,4,FR,"{FR,ES,DE,BE,IT}"
33446,2020-03-04T13:09:02.622802Z,4,FR,"{FR,ES,DE,BE,IT}"
251,2018-12-11T17:08:03.413264Z,10,FR,"{FR,ES,DE,BE,IT}"
105444,2020-07-13T09:01:47.276358Z,4,FR,"{FR,ES,BE,DE,IT}"
103066,2020-07-09T09:01:45.956689Z,4,FR,"{FR,ES,DE,BE,IT}"
129011,2020-09-06T00:15:23.689798Z,4,FR,"{FR,ES,DE,BE,IT}"
65675,2020-05-13T16:13:33.650994Z,4,FR,"{FR,ES,DE,BE,IT}"
6940,2019-09-09T10:54:09.636141Z,4,FR,"{FR,ES,DE,BE,IT}"
78628,2020-05-29T09:46:33.372102Z,4,FR,"{FR,ES,DE,BE,IT}"
134289,2020-09-15T12:32:35.448507Z,4,FR,"{FR,ES,BE,DE,IT}"
35090,2020-03-11T09:45:35.363346Z,4,FR,"{FR,ES,BE,DE,IT}"
110335,2020-07-23T04:06:26.591941Z,4,GB,"{FR,ES,DE,BE,IT}"
15756,2019-11-04T09:55:50.45259Z,4,FR,"{FR,ES,DE,BE,IT}"
109910,2020-07-22T10:09:14.950487Z,4,BE,"{FR,ES,DE,BE,IT}"
